Grapheme,Unicode_Hex,Frequency
றோ,U+0BB1 U+0BCB,119
மொ,U+0BAE U+0BCA,114
ஸ,U+0BB8,114
நூ,U+0BA8 U+0BC2,106
ஞா,U+0B9E U+0BBE,105
ஜா,U+0B9C U+0BBE,105
நு,U+0BA8 U+0BC1,102
s,U+0073,93
7,U+0037,91
ரீ,U+0BB0 U+0BC0,90
ஞ,U+0B9E,79
*,U+002A,79
ளோ,U+0BB3 U+0BCB,79
c,U+0063,79
ரூ,U+0BB0 U+0BC2,77
வொ,U+0BB5 U+0BCA,76
m,U+006D,75
l,U+006C,75
ங,U+0B99,74
ஷி,U+0BB7 U+0BBF,68
ளெ,U+0BB3 U+0BC6,66
–,U+2013,66
ஈ,U+0B88,66
ரெ,U+0BB0 U+0BC6,65
றீ,U+0BB1 U+0BC0,62
னெ,U+0BA9 U+0BC6,61
டோ,U+0B9F U+0BCB,59
யூ,U+0BAF U+0BC2,58
d,U+0064,57
ழே,U+0BB4 U+0BC7,56
ஜ்,U+0B9C U+0BCD,56
u,U+0075,56
டீ,U+0B9F U+0BC0,55
ஹ,U+0BB9,55
p,U+0070,54
டெ,U+0B9F U+0BC6,51
ஃ,U+0B83,51
ழா,U+0BB4 U+0BBE,50
C,U+0043,48
றொ,U+0BB1 U+0BCA,47
ணீ,U+0BA3 U+0BC0,47
ஷை,U+0BB7 U+0BC8,44
னொ,U+0BA9 U+0BCA,43
h,U+0068,43
ஜி,U+0B9C U+0BBF,42
பீ,U+0BAA U+0BC0,41
w,U+0077,41
ஹா,U+0BB9 U+0BBE,40
I,U+0049,40
M,U+004D,37
லெ,U+0BB2 U+0BC6,36
A,U+0041,34
g,U+0067,34
y,U+0079,34
S,U+0053,34
ரொ,U+0BB0 U+0BCA,33
ஜீ,U+0B9C U+0BC0,32
லீ,U+0BB2 U+0BC0,31
வூ,U+0BB5 U+0BC2,31
றெ,U+0BB1 U+0BC6,29
/,U+002F,29
[,U+005B,29
D,U+0044,28
T,U+0054,27
யொ,U+0BAF U+0BCA,26
ஸி,U+0BB8 U+0BBF,26
],U+005D,26
ஷு,U+0BB7 U+0BC1,24
k,U+006B,24
f,U+0066,23
லூ,U+0BB2 U+0BC2,22
லொ,U+0BB2 U+0BCA,21
ணே,U+0BA3 U+0BC7,21
ஸோ,U+0BB8 U+0BCB,21
N,U+004E,20
L,U+004C,20
…,U+2026,19
ஷே,U+0BB7 U+0BC7,18
நொ,U+0BA8 U+0BCA,18
P,U+0050,18
v,U+0076,18
R,U+0052,18
னீ,U+0BA9 U+0BC0,17
ஷா,U+0BB7 U+0BBE,17
ஸே,U+0BB8 U+0BC7,17
},U+007D,16
B,U+0042,16
ஜை,U+0B9C U+0BC8,15
ஸா,U+0BB8 U+0BBE,15
ணெ,U+0BA3 U+0BC6,14
ஹோ,U+0BB9 U+0BCB,14
ஜெ,U+0B9C U+0BC6,14
b,U+0062,14
டொ,U+0B9F U+0BCA,13
ஹி,U+0BB9 U+0BBF,13
>,U+003E,13
ஹ்,U+0BB9 U+0BCD,12
E,U+0045,12
x,U+0078,12
O,U+004F,12
ணோ,U+0BA3 U+0BCB,11
H,U+0048,11
ஜு,U+0B9C U+0BC1,10
ஸு,U+0BB8 U+0BC1,10
`,U+0060,10
ஹு,U+0BB9 U+0BC1,9
ஞை,U+0B9E U+0BC8,9
K,U+004B,9
F,U+0046,9
G,U+0047,9
ஜோ,U+0B9C U+0BCB,8
W,U+0057,8
டூ,U+0B9F U+0BC2,7
யீ,U+0BAF U+0BC0,7
ஹை,U+0BB9 U+0BC8,7
ஹெ,U+0BB9 U+0BC6,6
ஜே,U+0B9C U+0BC7,6
னூ,U+0BA9 U+0BC2,6
•,U+2022,6
